Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key
Faf Du Plessis,,Batsman,Chennai Super Kings,2014,"4,75,00,000",,,,,47500000,4.75,f_plessis
Dwayne Smith,,Batsman,Chennai Super Kings,2014,"4,50,00,000",,,,,45000000,4.5,d_smith
Brendon McCullum,,Wicket Keeper,Chennai Super Kings,2014,"3,25,00,000",,,,,32500000,3.25,b_mccullum
Ashish Nehra,,Bowler,Chennai Super Kings,2014,"2,00,00,000",,,,,20000000,2.0,a_nehra
Mohit Sharma,,Bowler,Chennai Super Kings,2014,"2,00,00,000",,,,,20000000,2.0,m_sharma
Ishwar Chandra Pandey,,Bowler,Chennai Super Kings,2014,"1,50,00,000",,,,,15000000,1.5,i_pandey
Ben Hilfenhaus,,Bowler,Chennai Super Kings,2014,"1,00,00,000",,,,,10000000,1.0,b_hilfenhaus
John Hastings,,All-Rounder,Chennai Super Kings,2014,"50,00,000",,,,,5000000,0.5,j_hastings
Samuel Badree,,Bowler,Chennai Super Kings,2014,"30,00,000",,,,,3000000,0.3,s_badree
Matt Henry,,Bowler,Chennai Super Kings,2014,"30,00,000",,,,,3000000,0.3,m_henry
Mithun Manhas,,All-Rounder,Chennai Super Kings,2014,"30,00,000",,,,,3000000,0.3,m_manhas
Vijay Shankar,,All-Rounder,Chennai Super Kings,2014,"10,00,000",,,,,1000000,0.1,v_shankar
Ronit More,,Bowler,Chennai Super Kings,2014,"10,00,000",,,,,1000000,0.1,r_more
Baba Aparajith,,Batsman,Chennai Super Kings,2014,"10,00,000",,,,,1000000,0.1,b_aparajith
Pawan Negi,,Bowler,Chennai Super Kings,2014,"10,00,000",,,,,1000000,0.1,p_negi
Dinesh Karthik,,Wicket Keeper,Delhi Daredevils,2014,"12,50,00,000",,,,,125000000,12.5,d_karthik
Kevin Pietersen,,Batsman,Delhi Daredevils,2014,"9,00,00,000",,,,,90000000,9.0,k_pietersen
Murali Vijay,,Batsman,Delhi Daredevils,2014,"5,00,00,000",,,,,50000000,5.0,m_vijay
Mohammad Shami,,Bowler,Delhi Daredevils,2014,"4,25,00,000",,,,,42500000,4.25,m_shami
Nathan Coulter-Nile,,Bowler,Delhi Daredevils,2014,"4,25,00,000",,,,,42500000,4.25,n_coulter-nile
Quinton De Kock,,Wicket Keeper,Delhi Daredevils,2014,"3,50,00,000",,,,,35000000,3.5,q_kock
Manoj Tiwary,,Batsman,Delhi Daredevils,2014,"2,80,00,000",,,,,28000000,2.8,m_tiwary
Jaydev Unadkat,,Bowler,Delhi Daredevils,2014,"2,80,00,000",,,,,28000000,2.8,j_unadkat
Jean-Paul Duminy,,Batsman,Delhi Daredevils,2014,"2,20,00,000",,,,,22000000,2.2,j_duminy
Ross Taylor,,Batsman,Delhi Daredevils,2014,"2,00,00,000",,,,,20000000,2.0,r_taylor
Kedar Jadhav,,Batsman,Delhi Daredevils,2014,"2,00,00,000",,,,,20000000,2.0,k_jadhav
Rahul Sharma,,Bowler,Delhi Daredevils,2014,"1,90,00,000",,,,,19000000,1.9,r_sharma
Mayank Agarwal,,Batsman,Delhi Daredevils,2014,"1,60,00,000",,,,,16000000,1.6,m_agarwal
Laxmi Ratan Shukla,,All-Rounder,Delhi Daredevils,2014,"1,50,00,000",,,,,15000000,1.5,l_shukla
James Neesham,,All-Rounder,Delhi Daredevils,2014,"1,00,00,000",,,,,10000000,1.0,j_neesham
Wayne Parnell,,Bowler,Delhi Daredevils,2014,"1,00,00,000",,,,,10000000,1.0,w_parnell
Shahbaz Nadeem,,Bowler,Delhi Daredevils,2014,"85,00,000",,,,,8500000,0.85,s_nadeem
Saurabh Tiwary,,Batsman,Delhi Daredevils,2014,"70,00,000",,,,,7000000,0.7,s_tiwary
Siddarth Kaul,,Bowler,Delhi Daredevils,2014,"45,00,000",,,,,4500000,0.45,s_kaul
Rahul Shukla,,Bowler,Delhi Daredevils,2014,"40,00,000",,,,,4000000,0.4,r_shukla
Jayant Yadav,,All-Rounder,Delhi Daredevils,2014,"10,00,000",,,,,1000000,0.1,j_yadav
HS Sharath,,Bowler,Delhi Daredevils,2014,"10,00,000",,,,,1000000,0.1,h_sharath
Milind Kumar,,Batsman,Delhi Daredevils,2014,"10,00,000",,,,,1000000,0.1,m_kumar
Mitchell Johnson,,All-Rounder,Kings XI Punjab,2014,"6,50,00,000",,,,,65000000,6.5,m_johnson
Glenn Maxwell,,All-Rounder,Kings XI Punjab,2014,"6,00,00,000",,,,,60000000,6.0,g_maxwell
George Bailey,,Batsman,Kings XI Punjab,2014,"3,25,00,000",,,,,32500000,3.25,g_bailey
Virender Sehwag,,Batsman,Kings XI Punjab,2014,"3,20,00,000",,,,,32000000,3.2,v_sehwag
Rishi Dhawan,,All-Rounder,Kings XI Punjab,2014,"3,00,00,000",,,,,30000000,3.0,r_dhawan
Wriddhiman Saha,,Wicket Keeper,Kings XI Punjab,2014,"2,20,00,000",,,,,22000000,2.2,w_saha
Shaun Marsh,,Batsman,Kings XI Punjab,2014,"2,20,00,000",,,,,22000000,2.2,s_marsh
Cheteshwar Pujara,,Batsman,Kings XI Punjab,2014,"1,90,00,000",,,,,19000000,1.9,c_pujara
Beuran Hendricks,,Bowler,Kings XI Punjab,2014,"1,80,00,000",,,,,18000000,1.8,b_hendricks
Lakshmipathy Balaji,,Bowler,Kings XI Punjab,2014,"1,80,00,000",,,,,18000000,1.8,l_balaji
Thisara Perera,,All-Rounder,Kings XI Punjab,2014,"1,60,00,000",,,,,16000000,1.6,t_perera
Gurkirat Singh Mann,,Batsman,Kings XI Punjab,2014,"1,30,00,000",,,,,13000000,1.3,g_mann
Murali Kartik,,Bowler,Kings XI Punjab,2014,"1,00,00,000",,,,,10000000,1.0,m_kartik
Sandeep Sharma,,Bowler,Kings XI Punjab,2014,"85,00,000",,,,,8500000,0.85,s_sharma
Mandeep Hardev Singh,,All-Rounder,Kings XI Punjab,2014,"80,00,000",,,,,8000000,0.8,m_singh
Akshar Rajesh Patel,,All-Rounder,Kings XI Punjab,2014,"75,00,000",,,,,7500000,0.75,a_patel
Parvinder Awana,,Bowler,Kings XI Punjab,2014,"65,00,000",,,,,6500000,0.65,p_awana
Shardul Narendra Thakur,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,,2000000,0.2,s_thakur
Anureet Singh,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,,2000000,0.2,a_singh
Shivam Sharma,,Bowler,Kings XI Punjab,2014,"10,00,000",,,,,1000000,0.1,s_sharma
Karanveer Singh,,All-Rounder,Kings XI Punjab,2014,"10,00,000",,,,,1000000,0.1,k_singh
Jacques Kallis,,All-Rounder,Kolkata Knight Riders,2014,"5,50,00,000",,,,,55000000,5.5,j_kallis
Robin Uthappa,,Batsman,Kolkata Knight Riders,2014,"5,00,00,000",,,,,50000000,5.0,r_uthappa
Piyush Chawla,,Bowler,Kolkata Knight Riders,2014,"4,25,00,000",,,,,42500000,4.25,p_chawla
Yusuf Pathan,,All-Rounder,Kolkata Knight Riders,2014,"3,25,00,000",,,,,32500000,3.25,y_pathan
Shakib Al Hasan,,All-Rounder,Kolkata Knight Riders,2014,"2,80,00,000",,,,,28000000,2.8,s_hasan
Morne Morkel,,Bowler,Kolkata Knight Riders,2014,"2,80,00,000",,,,,28000000,2.8,m_morkel
Ranganath Vinay Kumar,,Bowler,Kolkata Knight Riders,2014,"2,80,00,000",,,,,28000000,2.8,r_kumar
Umesh Yadav,,Bowler,Kolkata Knight Riders,2014,"2,60,00,000",,,,,26000000,2.6,u_yadav
Manish Pandey,,Batsman,Kolkata Knight Riders,2014,"1,70,00,000",,,,,17000000,1.7,m_pandey
Chris Lynn,,Batsman,Kolkata Knight Riders,2014,"1,30,00,000",,,,,13000000,1.3,c_lynn
Patrick Cummins,,Bowler,Kolkata Knight Riders,2014,"1,00,00,000",,,,,10000000,1.0,p_cummins
Ryan Ten Doeschate,,All-Rounder,Kolkata Knight Riders,2014,"1,00,00,000",,,,,10000000,1.0,r_doeschate
Suryakumar Yadav,,Batsman,Kolkata Knight Riders,2014,"70,00,000",,,,,7000000,0.7,s_yadav
Andre Russell,,All-Rounder,Kolkata Knight Riders,2014,"60,00,000",,,,,6000000,0.6,a_russell
Manvinder Bisla,,Wicket Keeper,Kolkata Knight Riders,2014,"60,00,000",,,,,6000000,0.6,m_bisla
Veer Pratap Singh,,Bowler,Kolkata Knight Riders,2014,"40,00,000",,,,,4000000,0.4,v_singh
Kuldeep Singh Yadav,,Bowler,Kolkata Knight Riders,2014,"40,00,000",,,,,4000000,0.4,k_yadav
Debabrata Das,,Wicket Keeper,Kolkata Knight Riders,2014,"20,00,000",,,,,2000000,0.2,d_das
Sayan Sekhar Mandal,,All-Rounder,Kolkata Knight Riders,2014,"10,00,000",,,,,1000000,0.1,s_mandal
Michael Hussey,,Batsman,Mumbai Indians,2014,"5,00,00,000",,,,,50000000,5.0,m_hussey
Corey Anderson,,All-Rounder,Mumbai Indians,2014,"4,50,00,000",,,,,45000000,4.5,c_anderson
Pragyan Ojha,,Bowler,Mumbai Indians,2014,"3,25,00,000",,,,,32500000,3.25,p_ojha
Zaheer Khan,,Bowler,Mumbai Indians,2014,"2,60,00,000",,,,,26000000,2.6,z_khan
Aditya Tare,,Wicket Keeper,Mumbai Indians,2014,"1,60,00,000",,,,,16000000,1.6,a_tare
