Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key,role_clean,runs,balls,matches_batted,strike_rate,runs_per_match,rpr_batting
Faf Du Plessis,,Batsman,Chennai Super Kings,2014,"4,75,00,000",,,,,47500000,4.75,f_plessis,batter,4571,3435,138,133.1,33.12,6.9726
Dwayne Smith,,Batsman,Chennai Super Kings,2014,"4,50,00,000",,,,,45000000,4.5,d_smith,batter,2385,1803,88,132.3,27.1,6.0222
Brendon McCullum,,Wicket Keeper,Chennai Super Kings,2014,"3,25,00,000",,,,,32500000,3.25,b_mccullum,batter,2882,2272,109,126.8,26.44,8.1354
Mithun Manhas,,All-Rounder,Chennai Super Kings,2014,"30,00,000",,,,,3000000,0.3,m_manhas,allrounder,514,486,38,105.8,13.53,45.1
Vijay Shankar,,All-Rounder,Chennai Super Kings,2014,"10,00,000",,,,,1000000,0.1,v_shankar,allrounder,1115,890,58,125.3,19.22,192.2
Kevin Pietersen,,Batsman,Delhi Daredevils,2014,"9,00,00,000",,,,,90000000,9.0,k_pietersen,batter,1001,758,36,132.1,27.81,3.09
Murali Vijay,,Batsman,Delhi Daredevils,2014,"5,00,00,000",,,,,50000000,5.0,m_vijay,batter,2619,2208,105,118.6,24.94,4.988
Quinton De Kock,,Wicket Keeper,Delhi Daredevils,2014,"3,50,00,000",,,,,35000000,3.5,q_kock,batter,3160,2410,107,131.1,29.53,8.4371
Manoj Tiwary,,Batsman,Delhi Daredevils,2014,"2,80,00,000",,,,,28000000,2.8,m_tiwary,batter,1695,1489,83,113.8,20.42,7.2929
Jean-Paul Duminy,,Batsman,Delhi Daredevils,2014,"2,20,00,000",,,,,22000000,2.2,j_duminy,batter,2029,1680,75,120.8,27.05,12.2955
Kedar Jadhav,,Batsman,Delhi Daredevils,2014,"2,00,00,000",,,,,20000000,2.0,k_jadhav,batter,1208,1012,81,119.4,14.91,7.455
