TeamName,total_spend_crore,avg_rpr_bowling,num_purchases,best_pick
Rajasthan Royals,123.5,3.229,31,8.655
Chennai Super Kings,123.05,2.706,30,7.7
Rising Pune Supergiant,29.6,2.505,6,5.62
Mumbai Indians,123.15,2.496,35,6.07
Kolkata Knight Riders,162.75,2.427,39,6.97
Delhi Capitals,164.4,2.419,45,6.33
Gujarat Lions,10.1,2.292,4,2.91
Royal Challengers Bengaluru,188.55,2.28,39,6.22
Sunrisers Hyderabad,149.85,2.279,39,7.32
Punjab Kings,184.7,1.762,34,5.64
Gujarat Titans,53.15,1.679,11,3.986
Lucknow Super Giants,58.65,0.9,8,1.9
